Duration_Months,Contract_Value_SAR,Sector
3,36700000.0,النقل
12,210000.0,الصحة
48,9100000.0,التعليم
24,7520000.0,الإسكان
24,110000.0,الإسكان
6,1570000.0,الدفاع
6,310000.0,الصحة
3,1990000.0,الإسكان
36,400000.0,الصحة
6,510000.0,الدفاع
60,23110000.0,الإسكان
3,10090000.0,البلدية
12,2780000.0,الصحة
6,1830000.0,البلدية
36,36370000.0,الإسكان
6,130000.0,الداخلية
60,110000.0,الصحة
48,1920000.0,الدفاع
6,790000.0,الصحة
24,15030000.0,الصحة
3,350000.0,الداخلية
12,280000.0,التعليم
3,250000.0,التعليم
60,1680000.0,النقل
24,290000.0,النقل
3,9950000.0,التعليم
36,11890000.0,الإسكان
60,70000.0,التعليم
12,870000.0,البلدية
36,35070000.0,الإسكان
48,6080000.0,الإسكان
24,430000.0,الصحة
6,19430000.0,الدفاع
3,180000.0,الإسكان
48,37780000.0,الداخلية
60,490000.0,الصحة
48,80000.0,النقل
48,100000.0,الدفاع
18,250000.0,النقل
60,60000.0,التعليم
24,330000.0,الداخلية
60,480000.0,الدفاع
48,49570000.0,التعليم
18,660000.0,الداخلية
18,270000.0,الصحة
48,1650000.0,الدفاع
48,120000.0,التعليم
36,27720000.0,الداخلية
48,220000.0,الإسكان
24,9190000.0,الإسكان
48,2740000.0,التعليم
12,420000.0,النقل
60,230000.0,الإسكان
3,300000.0,النقل
24,7770000.0,الصحة
18,4250000.0,الإسكان
3,360000.0,البلدية
24,8910000.0,النقل
24,100000.0,الداخلية
12,1000000.0,الصحة
24,37150000.0,الداخلية
60,34050000.0,النقل
12,32520000.0,الإسكان
24,1470000.0,البلدية
18,1920000.0,الداخلية
60,420000.0,التعليم
60,440000.0,البلدية
48,1500000.0,الداخلية
3,7250000.0,الإسكان
24,480000.0,الصحة
12,1520000.0,الدفاع
3,850000.0,الصحة
3,7480000.0,البلدية
60,3720000.0,الإسكان
12,720000.0,النقل
24,3690000.0,الدفاع
18,400000.0,الصحة
18,1120000.0,الدفاع
6,440000.0,الصحة
6,1210000.0,التعليم
48,8680000.0,التعليم
60,240000.0,البلدية
48,630000.0,الدفاع
48,4080000.0,الداخلية
60,21100000.0,الصحة
48,990000.0,الصحة
3,260000.0,الصحة
18,5820000.0,الدفاع
36,2950000.0,الصحة
6,130000.0,الداخلية
48,480000.0,البلدية
12,10290000.0,النقل
12,390000.0,النقل
24,770000.0,التعليم
18,370000.0,الإسكان
36,8380000.0,الدفاع
3,550000.0,الداخلية
3,4470000.0,التعليم
18,6700000.0,الداخلية
36,13610000.0,الصحة
18,3620000.0,الدفاع
48,180000.0,التعليم
12,13410000.0,البلدية
18,44930000.0,الصحة
18,4770000.0,الدفاع
18,26360000.0,الصحة
36,1560000.0,الداخلية
12,46100000.0,النقل
6,480000.0,الإسكان
3,180000.0,النقل
36,400000.0,الصحة
6,400000.0,الدفاع
12,780000.0,الإسكان
12,50000.0,النقل
12,160000.0,النقل
6,80000.0,الدفاع
24,9550000.0,التعليم
36,5590000.0,التعليم
36,41060000.0,الداخلية
24,19390000.0,النقل
48,3780000.0,الصحة
24,310000.0,النقل
12,870000.0,النقل
24,580000.0,الإسكان
36,320000.0,الإسكان
6,1280000.0,التعليم
12,980000.0,الصحة
6,5470000.0,البلدية
48,70000.0,التعليم
3,140000.0,النقل
60,21440000.0,التعليم
12,4870000.0,الداخلية
18,1550000.0,الإسكان
6,390000.0,التعليم
3,5590000.0,التعليم
24,980000.0,البلدية
6,1280000.0,الإسكان
24,38420000.0,النقل
60,340000.0,النقل
6,5740000.0,البلدية
3,380000.0,الصحة
36,60000.0,الإسكان
3,390000.0,البلدية
12,5010000.0,التعليم
18,1970000.0,الصحة
24,150000.0,الداخلية
6,1210000.0,الصحة
18,8500000.0,الداخلية
18,3920000.0,البلدية
24,400000.0,الإسكان
12,22760000.0,الداخلية
36,100000.0,الصحة
60,48550000.0,البلدية
3,1380000.0,الداخلية
60,510000.0,الصحة
24,290000.0,النقل
48,140000.0,النقل
48,460000.0,الإسكان
36,4510000.0,الدفاع
24,1820000.0,الصحة
3,1230000.0,البلدية
60,35570000.0,النقل
48,2590000.0,الصحة
48,280000.0,البلدية
18,9880000.0,الإسكان
3,250000.0,النقل
18,190000.0,الداخلية
24,780000.0,الإسكان
24,42320000.0,النقل
3,470000.0,البلدية
60,450000.0,الداخلية
48,840000.0,الإسكان
24,430000.0,النقل
60,4280000.0,الإسكان
12,28930000.0,الدفاع
36,1540000.0,الدفاع
60,490000.0,الدفاع
3,430000.0,البلدية
3,6610000.0,النقل
18,25830000.0,الإسكان
18,70000.0,النقل
36,14030000.0,الصحة
36,5680000.0,الإسكان
60,1630000.0,الإسكان
12,130000.0,الداخلية
3,5050000.0,البلدية
60,3290000.0,النقل
6,110000.0,التعليم
48,6410000.0,النقل
18,9780000.0,البلدية
24,640000.0,البلدية
48,320000.0,الإسكان
36,7890000.0,الإسكان
12,1750000.0,الداخلية
18,940000.0,الداخلية
3,1130000.0,الصحة
12,290000.0,الدفاع
24,250000.0,النقل
6,1120000.0,الصحة
6,25210000.0,الإسكان
12,1960000.0,التعليم
48,250000.0,التعليم
6,1410000.0,البلدية
18,180000.0,البلدية
18,1740000.0,الإسكان
3,25660000.0,التعليم
24,410000.0,البلدية
18,1040000.0,النقل
3,80000.0,الدفاع
24,9650000.0,الإسكان
6,42520000.0,البلدية
3,320000.0,الدفاع
24,310000.0,الدفاع
48,2730000.0,الإسكان
36,770000.0,التعليم
12,6730000.0,التعليم
36,37780000.0,الداخلية
24,7130000.0,التعليم
60,5130000.0,التعليم
3,37710000.0,التعليم
60,38690000.0,الداخلية
3,1440000.0,الداخلية
3,280000.0,الداخلية
12,1850000.0,الداخلية
36,870000.0,الداخلية
6,420000.0,الداخلية
48,130000.0,الدفاع
60,140000.0,الصحة
60,510000.0,النقل
6,2050000.0,التعليم
12,48790000.0,البلدية
24,7800000.0,الإسكان
24,1290000.0,البلدية
48,1950000.0,التعليم
